Input value,Gamma 1.5,Gamma 2,Custom Gamma 2,Custom Gamma 1.5
0,0,0,0,0
1,0.06,0,0,0
2,0.18,0.02,0,0
3,0.33,0.04,0,0
4,0.5,0.06,18.06,18.47
5,0.7,0.1,18.09,18.65
6,0.92,0.14,18.13,18.86
7,1.16,0.19,18.18,19.08
8,1.42,0.25,18.23,19.32
9,1.69,0.32,18.3,19.57
10,1.98,0.39,18.36,19.84
11,2.28,0.47,18.44,20.12
12,2.6,0.56,18.52,20.42
13,2.94,0.66,18.62,20.73
14,3.28,0.77,18.71,21.05
15,3.64,0.88,18.82,21.38
16,4.01,1,18.93,21.72
17,4.39,1.13,19.05,22.08
18,4.78,1.27,19.18,22.44
19,5.19,1.42,19.32,22.82
20,5.6,1.57,19.46,23.21
21,6.03,1.73,19.61,23.6
22,6.46,1.9,19.76,24.01
23,6.91,2.07,19.93,24.42
24,7.36,2.26,20.1,24.84
25,7.83,2.45,20.28,25.28
26,8.3,2.65,20.46,25.72
27,8.79,2.86,20.66,26.17
28,9.28,3.07,20.86,26.62
29,9.78,3.3,21.07,27.09
30,10.29,3.53,21.28,27.56
31,10.81,3.77,21.5,28.05
32,11.34,4.02,21.73,28.54
33,11.87,4.27,21.97,29.03
34,12.42,4.53,22.21,29.54
35,12.97,4.8,22.46,30.05
36,13.53,5.08,22.72,30.57
37,14.09,5.37,22.99,31.1
38,14.67,5.66,23.26,31.63
39,15.25,5.96,23.54,32.18
40,15.84,6.27,23.83,32.72
41,16.44,6.59,24.13,33.28
42,17.05,6.92,24.43,33.84
43,17.66,7.25,24.74,34.41
44,18.28,7.59,25.06,34.99
45,18.9,7.94,25.38,35.57
46,19.54,8.3,25.71,36.16
47,20.18,8.66,26.05,36.75
48,20.83,9.04,26.4,37.36
49,21.48,9.42,26.75,37.96
50,22.14,9.8,27.11,38.58
51,22.81,10.2,27.48,39.2
52,23.48,10.6,27.86,39.82
53,24.16,11.02,28.24,40.46
54,24.85,11.44,28.63,41.1
55,25.54,11.86,29.03,41.74
56,26.24,12.3,29.43,42.39
57,26.95,12.74,29.84,43.05
58,27.66,13.19,30.26,43.71
59,28.38,13.65,30.69,44.38
60,29.1,14.12,31.12,45.05
61,29.83,14.59,31.56,45.73
62,30.57,15.07,32.01,46.41
63,31.31,15.56,32.47,47.1
64,32.06,16.06,32.93,47.8
65,32.82,16.57,33.4,48.5
66,33.58,17.08,33.88,49.21
67,34.34,17.6,34.36,49.92
68,35.12,18.13,34.85,50.64
69,35.89,18.67,35.35,51.36
70,36.68,19.22,35.86,52.09
71,37.46,19.77,36.37,52.82
72,38.26,20.33,36.89,53.56
73,39.06,20.9,37.42,54.3
74,39.86,21.47,37.96,55.05
75,40.67,22.06,38.5,55.8
76,41.49,22.65,39.05,56.56
77,42.31,23.25,39.61,57.33
78,43.14,23.86,40.17,58.09
79,43.97,24.47,40.75,58.87
80,44.81,25.1,41.33,59.65
81,45.65,25.73,41.91,60.43
82,46.5,26.37,42.51,61.22
83,47.35,27.02,43.11,62.01
84,48.21,27.67,43.72,62.81
85,49.07,28.33,44.33,63.61
86,49.94,29,44.96,64.42
87,50.82,29.68,45.59,65.23
88,51.7,30.37,46.22,66.05
89,52.58,31.06,46.87,66.87
90,53.47,31.76,47.52,67.69
91,54.36,32.47,48.18,68.52
92,55.26,33.19,48.85,69.36
93,56.16,33.92,49.52,70.2
94,57.07,34.65,50.21,71.04
95,57.98,35.39,50.89,71.89
96,58.9,36.14,51.59,72.75
97,59.83,36.9,52.29,73.6
98,60.75,37.66,53,74.46
99,61.69,38.44,53.72,75.33
100,62.62,39.22,54.45,76.2
101,63.56,40,55.18,77.08
102,64.51,40.8,55.92,77.96
103,65.46,41.6,56.67,78.84
104,66.42,42.42,57.42,79.73
105,67.38,43.24,58.18,80.62
106,68.34,44.06,58.95,81.52
107,69.31,44.9,59.73,82.42
108,70.29,45.74,60.51,83.32
109,71.26,46.59,61.3,84.23
110,72.25,47.45,62.1,85.15
111,73.23,48.32,62.91,86.06
112,74.23,49.19,63.72,86.99
113,75.22,50.07,64.54,87.91
114,76.22,50.96,65.37,88.84
115,77.23,51.86,66.2,89.78
116,78.24,52.77,67.04,90.72
117,79.25,53.68,67.89,91.66
118,80.27,54.6,68.75,92.6
119,81.29,55.53,69.61,93.55
120,82.32,56.47,70.48,94.51
121,83.35,57.42,71.36,95.47
122,84.39,58.37,72.25,96.43
123,85.43,59.33,73.14,97.4
124,86.47,60.3,74.04,98.37
125,87.52,61.27,74.95,99.34
126,88.57,62.26,75.86,100.32
127,89.63,63.25,76.79,101.3
128,90.69,64.25,77.72,102.29
129,91.75,65.26,78.65,103.28
130,92.82,66.27,79.6,104.27
131,93.89,67.3,80.55,105.27
132,94.97,68.33,81.51,106.27
133,96.05,69.37,82.47,107.27
134,97.14,70.42,83.45,108.28
135,98.23,71.47,84.43,109.29
136,99.32,72.53,85.41,110.31
137,100.42,73.6,86.41,111.33
138,101.52,74.68,87.41,112.35
139,102.62,75.77,88.42,113.38
140,103.73,76.86,89.44,114.41
141,104.85,77.96,90.46,115.45
142,105.96,79.07,91.49,116.49
143,107.09,80.19,92.53,117.53
144,108.21,81.32,93.58,118.57
145,109.34,82.45,94.63,119.62
146,110.47,83.59,95.69,120.68
147,111.61,84.74,96.76,121.73
148,112.75,85.9,97.83,122.79
149,113.9,87.06,98.92,123.86
150,115.04,88.24,100.01,124.92
151,116.2,89.42,101.1,125.99
152,117.35,90.6,102.21,127.07
153,118.51,91.8,103.32,128.15
